Initial Temperature,Temperature Length,Cooling Ratio,num_non_improve,Runtime,Kemeny Score,Rating
40,45,0.891,45000.0,0.4150720999999997,104,43.16749839999997
40,45,0.891,50000,0.47635319999999837,102,48.58802639999983
40,45,0.891,55000.00000000001,0.6473975000000003,106,68.62413500000002
40,45,0.99,45000.0,0.548025299999999,77,42.19794809999993
40,45,0.99,50000,0.6066716000000021,81,49.140399600000165
40,45,0.99,55000.00000000001,0.6706381999999991,76,50.96850319999993
40,45,1.089,45000.0,0.3564361999999974,744,265.1885327999981
40,45,1.089,50000,0.4031450999999997,673,271.3166522999998
40,45,1.089,55000.00000000001,0.43648100000000056,696,303.7907760000004
40,50,0.891,45000.0,0.48374669999999753,94,45.47218979999977
40,50,0.891,50000,0.46157309999999896,120,55.388771999999875
40,50,0.891,55000.00000000001,0.5128696999999995,108,55.38992759999995
40,50,0.99,45000.0,0.5833559999999984,87,50.75197199999987
40,50,0.99,50000,0.6233640999999999,81,50.49249209999999
40,50,0.99,55000.00000000001,0.6618788000000002,84,55.59781920000002
40,50,1.089,45000.0,0.5737816000000002,609,349.43299440000015
40,50,1.089,50000,0.4034039999999983,607,244.86622799999898
40,50,1.089,55000.00000000001,0.4414535999999991,749,330.6487463999993
44.0,40,0.891,45000.0,0.4092086999999971,101,41.3300786999997
44.0,40,0.891,50000,0.471806100000002,229,108.04359690000047
44.0,40,0.891,55000.00000000001,0.5026468999999985,93,46.74616169999986
44.0,40,0.99,45000.0,0.5394360999999996,81,43.694324099999974
44.0,40,0.99,50000,0.5854029000000018,90,52.686261000000165
44.0,40,0.99,55000.00000000001,0.6768391999999999,76,51.43977919999999
44.0,40,1.089,45000.0,0.38578500000000204,587,226.4557950000012
44.0,40,1.089,50000,0.4419928000000013,622,274.9195216000008
44.0,40,1.089,55000.00000000001,0.4654077999999977,621,289.0182437999986
44.0,45,0.891,45000.0,0.43649400000000327,161,70.27553400000053
44.0,45,0.891,50000,0.4925404000000029,90,44.32863600000026
44.0,45,0.891,55000.00000000001,0.5018237999999968,132,66.24074159999958
44.0,45,0.99,45000.0,0.5835778000000005,82,47.85337960000004
44.0,45,0.99,50000,0.6104163999999983,76,46.39164639999987
44.0,45,0.99,55000.00000000001,0.6499950999999982,88,57.19956879999984
44.0,45,1.089,45000.0,0.36692529999999834,748,274.4601243999988
44.0,45,1.089,50000,0.4113973000000044,661,271.9336153000029
44.0,45,1.089,55000.00000000001,0.4591294000000019,629,288.7923926000012
44.0,50,0.891,45000.0,0.42613899999999916,137,58.381042999999885
44.0,50,0.891,50000,0.4711471999999972,206,97.05632319999943
44.0,50,0.891,55000.00000000001,0.5138379999999998,106,54.46682799999998
44.0,50,0.99,45000.0,0.5547406999999964,78,43.26977459999972
44.0,50,0.99,50000,0.6195473000000007,82,50.80287860000006
44.0,50,0.99,55000.00000000001,0.6342956000000015,76,48.206465600000115
44.0,50,1.089,45000.0,0.37026260000000377,636,235.4870136000024
44.0,50,1.089,50000,0.4083941000000024,697,284.6506877000017
44.0,50,1.089,55000.00000000001,0.44762500000000216,749,335.27112500000163
39.6,36,0.8019000000000001,40500.0,0.36447849999999704,252,91.84858199999925
39.6,36,0.8019000000000001,45000.0,0.4129008999999968,125,51.6126124999996
39.6,36,0.8019000000000001,49500.00000000001,0.4594895999999977,263,120.8457647999994
39.6,36,0.891,40500.0,0.3952832000000015,119,47.03870080000018
39.6,36,0.891,45000.0,0.42547670000000437,111,47.227913700000485
39.6,36,0.891,49500.00000000001,0.5136594999999957,113,58.043523499999516
39.6,36,0.9801000000000001,40500.0,0.4191107000000045,93,38.97729510000042
39.6,36,0.9801000000000001,45000.0,0.4532771000000011,85,38.52855350000009
39.6,36,0.9801000000000001,49500.00000000001,0.5277637999999953,82,43.27663159999962
39.6,40,0.8019000000000001,40500.0,0.4060954999999993,114,46.29488699999992
39.6,40,0.8019000000000001,45000.0,0.43239499999999964,103,44.53668499999996
39.6,40,0.8019000000000001,49500.00000000001,0.4500760000000028,191,85.96451600000054
39.6,40,0.891,40500.0,0.3960090000000065,111,43.95699900000072
39.6,40,0.891,45000.0,0.41548330000000533,105,43.62574650000056
39.6,40,0.891,49500.00000000001,0.47146550000000076,103,48.56094650000008
39.6,40,0.9801000000000001,40500.0,0.5073413000000002,78,39.57262140000002
39.6,40,0.9801000000000001,45000.0,0.47317610000000343,91,43.05902510000031
39.6,40,0.9801000000000001,49500.00000000001,0.5228237999999976,75,39.21178499999982
39.6,44,0.8019000000000001,40500.0,0.4209637000000015,288,121.23754560000043
39.6,44,0.8019000000000001,45000.0,0.41821660000000094,150,62.73249000000014
39.6,44,0.8019000000000001,49500.00000000001,0.4767045999999979,191,91.0505785999996
39.6,44,0.891,40500.0,0.3964234999999974,132,52.32790199999965
39.6,44,0.891,45000.0,0.4389815999999982,261,114.57419759999954
39.6,44,0.891,49500.00000000001,0.5022437000000011,110,55.24680700000012
39.6,44,0.9801000000000001,40500.0,0.5766172000000012,90,51.895548000000105
39.6,44,0.9801000000000001,45000.0,0.4936618999999993,79,38.999290099999946
39.6,44,0.9801000000000001,49500.00000000001,0.5140385999999992,86,44.207319599999934
44.0,36,0.8019000000000001,40500.0,0.3996306999999959,393,157.05486509999838
44.0,36,0.8019000000000001,45000.0,0.4177009999999939,169,70.59146899999897
44.0,36,0.8019000000000001,49500.00000000001,0.45858940000000104,310,142.16271400000034
44.0,36,0.891,40500.0,0.38633279999999814,222,85.76588159999959
44.0,36,0.891,45000.0,0.41600490000000434,131,54.49664190000057
44.0,36,0.891,49500.00000000001,0.47162559999999587,185,87.25073599999924
44.0,36,0.9801000000000001,40500.0,0.4244348000000002,85,36.07695800000002
44.0,36,0.9801000000000001,45000.0,0.48064320000000293,81,38.93209920000024
44.0,36,0.9801000000000001,49500.00000000001,0.5037449000000009,85,42.81831650000008
44.0,40,0.8019000000000001,40500.0,0.41444120000000595,244,101.12365280000145
44.0,40,0.8019000000000001,45000.0,0.42296890000000076,282,119.27722980000021
44.0,40,0.8019000000000001,49500.00000000001,0.46005150000000583,294,135.25514100000171
44.0,40,0.891,40500.0,0.6625190000000032,109,72.21457100000035
44.0,40,0.891,45000.0,0.4141566999999995,120,49.69880399999994
44.0,40,0.891,49500.00000000001,0.5092415000000017,118,60.0904970000002
44.0,40,0.9801000000000001,40500.0,0.4344681000000037,81,35.1919161000003
